period_name,start_date,end_date,period_days,is_rolling,strategy_return,ibit_bh_return,vs_bh,total_trades,win_rate,sharpe,max_dd,mr_trades,mr_win_rate,thu_trades,thu_win_rate,vix_avg,vix_max,ibit_volatility,ibit_trend,big_down_days
2wk: 11/09 - 11/23/25,2025-11-09,2025-11-23,14,True,4.3802769086757145,-20.446439591621974,24.82671650029769,5,60.0,0.36403628249915976,10.530824850062018,4,50.0,1,100.0,21.280000114440917,26.420000076293945,2.191694859933343,-20.302371963476507,4
2wk: 11/02 - 11/16/25,2025-11-02,2025-11-16,14,True,-5.06144688716784,-12.35761860354382,7.29617171637598,4,50.0,-0.4891135799923143,10.530824850062025,3,33.33333333333333,1,100.0,18.498000144958496,20.0,2.2683235844253953,-11.655378237986696,3
2wk: 10/26 - 11/09/25,2025-10-26,2025-11-09,14,True,2.28966041924863,-9.934988805942279,12.224649225190909,3,66.66666666666666,0.43778916376291876,3.6032123514587693,2,50.0,1,100.0,17.624000072479248,19.5,1.939443650305711,-9.80391824580021,2
2wk: 10/19 - 11/02/25,2025-10-19,2025-11-02,14,True,-5.52871038990017,-0.922394753820688,-4.606315636079482,2,0.0,-4.932652074985219,5.52871038990017,1,0.0,1,0.0,17.185000133514404,18.600000381469727,1.5246385828871394,-1.001114039504333,1
2wk: 10/12 - 10/26/25,2025-10-12,2025-10-26,14,True,4.9013500298047985,-3.278936704799155,8.180286734603953,3,66.66666666666666,0.9854155236133606,1.997471166219451,1,100.0,2,50.0,19.494000053405763,25.309999465942383,1.4910904928233668,-4.528180881462321,1
2wk: 10/05 - 10/19/25,2025-10-05,2025-10-19,14,True,4.915607285096576,-14.842980704755762,19.758587989852337,6,83.33333333333334,0.4796210451065641,9.171035205872696,4,75.0,2,100.0,19.45699996948242,25.309999465942383,2.0804273565029057,-15.177443618839352,4
2wk: 09/28 - 10/12/25,2025-09-28,2025-10-12,14,True,-7.378013780403671,3.8920208412257415,-11.270034621629412,4,50.0,-0.7224300563344732,9.171035205872707,2,50.0,2,50.0,16.99700012207031,21.65999984741211,2.159394057750694,1.8931748567477573,3
2wk: 09/21 - 10/05/25,2025-09-21,2025-10-05,14,True,0.6070997596103552,8.780668856830836,-8.173569097220481,3,33.33333333333333,0.14894958692602228,3.128101255966129,1,0.0,2,50.0,16.292000102996827,16.739999771118164,1.324623524717752,9.677919693702291,1
2wk: 09/14 - 09/28/25,2025-09-14,2025-09-28,14,True,3.685930144073572,-5.232561125620501,8.918491269694073,3,33.33333333333333,1.1477536008400273,0.1594850599980528,1,0.0,2,50.0,15.986999988555908,16.739999771118164,0.9160507614998595,-5.435116600444299,1
2wk: 09/07 - 09/21/25,2025-09-07,2025-09-21,14,True,-1.2204378530934628,2.5251011095229168,-3.7455389626163793,2,0.0,-1.4237768137914213,1.2204378530934628,0,0.0,2,0.0,15.389000034332275,16.360000610351562,0.92287020584964,2.6216671328741685,0
2wk: 08/31 - 09/14/25,2025-08-31,2025-09-14,14,True,0.538307382405983,6.831896751518282,-6.293589369112299,2,50.0,0.26459061728117134,1.2163888139874652,0,0.0,2,50.0,15.441111246744791,17.170000076293945,1.081411051535333,5.415270710831293,0
2wk: 08/24 - 09/07/25,2025-08-24,2025-09-07,14,True,6.471127057126705,-0.04728541155773296,6.5184124686844385,3,100.0,13.210026248958615,0.0,1,100.0,2,100.0,15.338889016045464,17.170000076293945,1.2227997179232164,0.858774000727389,1
2wk: 08/17 - 08/31/25,2025-08-17,2025-08-31,14,True,5.828294693745629,-6.5124810019721275,12.340775695717756,3,100.0,14.428351399774703,0.0,1,100.0,2,100.0,15.111999988555908,16.600000381469727,1.8333368597644388,-6.979567315744643,2
2wk: 08/10 - 08/24/25,2025-08-10,2025-08-24,14,True,3.862397344352212,-2.4012924563515554,6.263689800703768,3,100.0,2.8517646125399554,0.0,1,100.0,2,100.0,15.245999908447265,16.600000381469727,1.7442261704919744,-2.054996159360051,1
2wk: 08/03 - 08/17/25,2025-08-03,2025-08-17,14,True,-1.827541912627421,2.5435279496991257,-4.3710698623265465,2,50.0,-1.1497142483031557,2.033006670166833,0,0.0,2,50.0,15.925,17.850000381469727,0.9561773177747729,1.901849004913939,0
2wk: 07/27 - 08/10/25,2025-07-27,2025-08-10,14,True,1.481559802238753,-1.8915533698822897,3.373113172121043,3,66.66666666666666,0.47773801517273895,2.0330066701668414,1,100.0,2,50.0,16.74499979019165,20.3799991607666,1.070468966725939,-1.4456054288544162,1
2wk: 07/20 - 08/03/25,2025-07-20,2025-08-03,14,True,1.840064796655479,-4.448739628773931,6.288804425429411,2,50.0,0.963793541074288,0.43227390032290713,0,0.0,2,50.0,16.242999744415282,20.3799991607666,0.8708613720326072,-3.1810652074544232,1
2wk: 07/13 - 07/27/25,2025-07-13,2025-07-27,14,True,-2.189903970408377,-4.0624513994209295,1.8725474290125526,2,0.0,-2.3314432785826673,2.189903970408377,0,0.0,2,0.0,16.351000022888183,17.3799991607666,0.8951945756586889,-2.669404057902382,0
2wk: 07/06 - 07/20/25,2025-07-06,2025-07-20,14,True,-5.875769748474104,8.19405995381883,-14.069829702292934,2,0.0,-3.478156505739754,5.875769748474104,0,0.0,2,0.0,16.738999938964845,17.790000915527344,1.29306253689759,8.599346332379907,0
2wk: 06/29 - 07/13/25,2025-06-29,2025-07-13,14,True,-4.222692619064801,9.69479122299617,-13.917483842060971,2,0.0,-1.4415070071513303,4.222692619064801,0,0.0,2,0.0,16.588888592190212,17.790000915527344,1.2543155741517062,9.802320028986964,0
2wk: 06/22 - 07/06/25,2025-06-22,2025-07-06,14,True,-0.7674959527107603,8.194152960999498,-8.961648913710258,2,0.0,-1.578671205865988,0.7674959527107603,0,0.0,2,0.0,17.06222195095486,19.829999923706055,1.0725767503074621,5.999660077758188,0
